,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
821,T,Q3TJZ6,sp|Q3TJZ6|FA98A_MOUSE,Fam98a,13,8,821,FALSE
893,T,Q62188,sp|Q62188|DPYL3_MOUSE,Dpysl3,13,13,893,FALSE
1029,T,Q8JZQ9,sp|Q8JZQ9|EIF3B_MOUSE,Eif3b,13,10,1029,FALSE
774,T,P80316,sp|P80316|TCPE_MOUSE,Cct5,12,8,774,FALSE
1022,T,Q8CGC7,sp|Q8CGC7|SYEP_MOUSE,Eprs,12,11,1022,FALSE
1241,T,Q9Z1Q9,sp|Q9Z1Q9|SYVC_MOUSE,Vars,12,11,1241,FALSE
757,T,P63276,sp|P63276|RS17_MOUSE,Rps17,11,4,757,FALSE
1005,T,Q8BWW4,sp|Q8BWW4|LARP4_MOUSE,Larp4,11,9,1005,FALSE
1132,T,Q9CQQ7,sp|Q9CQQ7|AT5F1_MOUSE,Atp5f1,11,4,1132,FALSE
674,T,P51881,sp|P51881|ADT2_MOUSE,Slc25a5,10,6,674,FALSE
792,T,P97461,sp|P97461|RS5_MOUSE,Rps5,10,5,792,FALSE
896,T,Q62318-2,sp|Q62318-2|TIF1B_MOUSE,Trim28,10,5,896,FALSE
946,T,Q7TMK9-2,sp|Q7TMK9-2|HNRPQ_MOUSE,Syncrip,10,8,946,FALSE
961,T,Q80X50-2,sp|Q80X50-2|UBP2L_MOUSE,Ubap2l,10,8,961,FALSE
1047,T,Q8R1B4,sp|Q8R1B4|EIF3C_MOUSE,Eif3c,10,9,1047,FALSE
1069,T,Q91V92,sp|Q91V92|ACLY_MOUSE,Acly,10,6,1069,FALSE
1074,T,Q91VX2,sp|Q91VX2|UBAP2_MOUSE,Ubap2,10,8,1074,FALSE
536,T,O70194,sp|O70194|EIF3D_MOUSE,Eif3d,9,6,536,FALSE
576,T,P11103-2,sp|P11103-2|PARP1_MOUSE,Parp1,9,7,576,FALSE
907,T,Q68FD5,sp|Q68FD5|CLH_MOUSE,Cltc,9,8,907,FALSE
949,T,Q7TPR4,sp|Q7TPR4|ACTN1_MOUSE,Actn1,9,8,949,FALSE
964,T,Q80XI3-2,sp|Q80XI3-2|IF4G3_MOUSE,Eif4g3,9,9,964,FALSE
1222,T,Q9QYJ0,sp|Q9QYJ0|DNJA2_MOUSE,Dnaja2,9,8,1222,FALSE
1246,T,Q9Z2X1-2,sp|Q9Z2X1-2|HNRPF_MOUSE,Hnrnpf,9,4,1246,FALSE
475,T,D3Z6I7,tr|D3Z6I7|D3Z6I7_MOUSE,Cald1,8,8,475,FALSE
584,T,P13864-2,sp|P13864-2|DNMT1_MOUSE,Dnmt1,8,7,584,FALSE
588,T,P14206,sp|P14206|RSSA_MOUSE,Rpsa,8,4,588,FALSE
652,T,P43276,sp|P43276|H15_MOUSE,Hist1h1b,8,3,652,FALSE
704,T,P60843,sp|P60843|IF4A1_MOUSE,Eif4a1,8,6,704,FALSE
813,T,Q1HFZ0-2,sp|Q1HFZ0-2|NSUN2_MOUSE,Nsun2,8,7,813,FALSE
993,T,Q8BMS1,sp|Q8BMS1|ECHA_MOUSE,Hadha,8,4,993,FALSE
1043,T,Q8QZY1,sp|Q8QZY1|EIF3L_MOUSE,Eif3l,8,7,1043,FALSE
1120,T,Q99MN1,sp|Q99MN1|SYK_MOUSE,Kars,8,7,1120,FALSE
1242,T,Q9Z1Z2,sp|Q9Z1Z2|STRAP_MOUSE,Strap,8,7,1242,FALSE
494,T,E9Q740,tr|E9Q740|E9Q740_MOUSE,Srp72,7,6,494,FALSE
534,T,O55142,sp|O55142|RL35A_MOUSE,Rpl35a,7,3,534,FALSE
535,T,O70133-2,sp|O70133-2|DHX9_MOUSE,Dhx9,7,5,535,FALSE
570,T,P10630-2,sp|P10630-2|IF4A2_MOUSE,Eif4a2,7,6,570,FALSE
668,T,P49312-2,sp|P49312-2|ROA1_MOUSE,Hnrnpa1,7,4,668,FALSE
749,T,P63037,sp|P63037|DNJA1_MOUSE,Dnaja1,7,5,749,FALSE
942,T,Q78PY7,sp|Q78PY7|SND1_MOUSE,Snd1,7,7,942,FALSE
989,T,Q8BMA6,sp|Q8BMA6|SRP68_MOUSE,Srp68,7,6,989,FALSE
1089,T,Q922B2,sp|Q922B2|SYDC_MOUSE,Dars,7,6,1089,FALSE
1097,T,Q925I1-2,sp|Q925I1-2|ATAD3_MOUSE,Atad3,7,5,1097,FALSE
1104,T,Q99K48-2,sp|Q99K48-2|NONO_MOUSE,Nono,7,4,1104,FALSE
1117,T,Q99M31-2,sp|Q99M31-2|HSP7E_MOUSE,Hspa14,7,4,1117,FALSE
1126,T,Q99PU8-2,sp|Q99PU8-2|DHX30_MOUSE,Dhx30,7,7,1126,FALSE
1157,T,Q9D0D4,sp|Q9D0D4|DIMT1_MOUSE,Dimt1l,7,6,1157,FALSE
1177,T,Q9DB77,sp|Q9DB77|QCR2_MOUSE,Uqcrc2,7,5,1177,FALSE
1209,T,Q9JLV1,sp|Q9JLV1|BAG3_MOUSE,Bag3,7,6,1209,FALSE
456,T,A2AJ72,tr|A2AJ72|A2AJ72_MOUSE,Fubp3,6,5,456,FALSE
574,T,P10853,sp|P10853|H2B1F_MOUSE,Hist1h2bf,6,3,574,FALSE
580,T,P11983,sp|P11983|TCPA_MOUSE,Tcp1,6,3,580,FALSE
631,T,P31230,sp|P31230|AIMP1_MOUSE,Aimp1,6,5,631,FALSE
640,T,P35922-10,sp|P35922-10|FMR1_MOUSE,Fmr1,6,6,640,FALSE
675,T,P52293,sp|P52293|IMA2_MOUSE,Kpna2,6,5,675,FALSE
741,T,P62889,sp|P62889|RL30_MOUSE,Rpl30,6,5,741,FALSE
744,T,P62911,sp|P62911|RL32_MOUSE,Rpl32,6,3,744,FALSE
753,T,P63101,sp|P63101|1433Z_MOUSE,Ywhaz,6,4,753,FALSE
805,T,Q07646-2,sp|Q07646-2|MEST_MOUSE,Mest,6,3,805,FALSE
853,T,Q60737,sp|Q60737|CSK21_MOUSE,Csnk2a1,6,5,853,FALSE
972,T,Q8BG05-2,sp|Q8BG05-2|ROA3_MOUSE,Hnrnpa3,6,4,972,FALSE
974,T,Q8BGD9,sp|Q8BGD9|IF4B_MOUSE,Eif4b,6,5,974,FALSE
1124,T,Q99PL5-10,sp|Q99PL5-10|RRBP1_MOUSE,Rrbp1,6,4,1124,FALSE
1161,T,Q9D0I9,sp|Q9D0I9|SYRC_MOUSE,Rars,6,6,1161,FALSE
1219,T,Q9QYH6,sp|Q9QYH6|MAGD1_MOUSE,Maged1,6,6,1219,FALSE
1220,T,Q9QYI3,sp|Q9QYI3|DNJC7_MOUSE,Dnajc7,6,5,1220,FALSE
1257,T,UPSP:K1CX_HUMAN_contaminant,UPSP:K1CX_HUMAN_contaminant,UPSP:K1CX_HUMAN_contaminant,6,4,1257,FALSE
471,T,D3YW41,tr|D3YW41|D3YW41_MOUSE,Rpl36-ps3,5,4,471,FALSE
